Name,Owner Name,Village,Taluka,District,Mobile,GSTIN,Opening Balance,Rating
"AGRAWAL KRUSHI KENDRA POULDOWNA","","","","","7798151917","","0","A+"
"AJIT PATLE","","Dongargaon (Kattipar)","Amgaon","Gondia","","","-3820","A"
"AMBULE KK CHANDORI","","","","","9371217151","","72180","A+"
"AMIRA K.K DONGARGAON (KATTIPAR)","","","","","9022459052","","0","A"
"AMOL K.K DHAPEWADA","","","","","964621031","","-51203","A+"
"ANAND KRUSHI KENDRA FULCHUR","","","","","","","41095","D"
"ANINDRA KRUSHI KENDRA KATURLI","","","","","7743984974","","7150","D"
"Anju Bai","","","","","","","0","B"
"ANNAPURNA KK BOTHLI","","","","","9823572396","","37405","A"
"ANSH KRUSHI KENDRA CHUTIYA","","","","","","","0","B"
"ARCHANA K.K SAKRITOLA","","","","","9823303290","","60880","C"
"ARCHANA KK KATURLI","","","","","9518987140","","0","A"
"ARTI KRUSHI KENDRA TEDWA","","","","","","","0","D"
"ARYA KK DATORA (GONDIA)","","","","","","","0","D"
"ASATI KRUSHI KENDRA BORKANHAR","","","","","9545040509","","5878","A"
"ASHISH KK KHADIPAR (MURDOLI)","","","","","9421896718","","0","D"
"ASHISH KK PANJRA","","","","","","","0","D"
"Ashok Rahele","","","","","","","0","B"
"AYUSH KRUSHI KENDRA WARAD","","","","","9552302785","","0","B"
"Babita Bai","","","","","","","0","B"
"BAGDE KK TUMSAR","","","","","9529464465","","0","A"
"BAHUBALI KRUSHI KENDRA CHICHGARH (DEORI)","","","","","9422133281","","115000","A+"
"BAITHWAR KK JHALIYA","","","","","","","0","D"
"BALAJI K.K KUMBARTOLI (AMGAON)","","","","","8806255093","","10825","B"
"BALIRAJA KK SARANDI (TIRODA)","","","","","8329485307","","950","B"
"BALIRAJA KRUSHI KENDRA BAMNI (KHADKI)","","","","","9404841888","","0","A"
"BALIRAJA KRUSHI KENDRA KURADI","","","","","9834528274","","19370","D"
"BALIRAJA KRUSHI KENDRA THANA","","","","","7588964858","","79000.1","B"
"BAVANTHADE KK KATANGINAKA (GONDIA)","","","","","","","5900","D"
"BAVANTHADE KRUSHI KENDRA MAHARITOLA","","","","","8308505233","","48750","B"
"BHAGYASHREE KRUSHI KENDRA KHOLGARH","","","","","8390454945","","43400","A"
"BHANUPRATAP","","","","","","","0","B"
"BHARAT KK MAKKATOLA (SAKRITOLA)","","","","","7588880505","","0","D"
"BISEN SIR (THANA)","","","","","","","0","B"
"BORKER KK SUKDI (TIRORA)","","","","","8208876453","","0","B"
"BRAMHANKAR KRUSHI KENDRA TEDHA","","","","","9571631484","","18692","D"
"BSH BRS AGRO NAGPUR","","","","","","","-66226","B"
"BSH BRS CHEMICALS SALE ACCOUNT","","","","","","","-53171","B"
"CHIKLONDE KRUSHI KENDRA NAGRA","","","","","9158808963","","205250.66","D"
"CHIRAG KRUSHI KENDRA KAVLEWADA","","","","","","","0","D"
"CHULBAND F.P.O GATEGAON (GOREGAON)","","","","","7875359753","","0","A"
"DAHARIA KRUSHI KENDRA DONGARGAON","","","","","","","0","D"
"DAKHNE KK SUKDI (TIRORA)","","","","","8390850068","","2399","B"
"DAKSH KK AMBHORA (GONDAI)","","","","","","","0","D"
"DASHARIA KRUSHI KENDRA GOWARITOLA (SALEK","","","","","","","80330","D"
"DASHARIYA KK NIMBA (SALEKASA)","","","","","9921146295","","11000","A"
"DATTA K.K SONPURI (SALEKASA)","","","","","9834819345","","30025","A"
"DESHMUKH K.K DONGARGAON","","","","","8080302504","","9850","B"
"DHERMENDRA MESHRAM (DM)","","","","","7354229373","","62494.96","D"
"DOLLY KRUSHY KENDRA","","","","","9764241006","","0","D"
"DONGRE KRUSHI KENDRA SAKRITOLA","","","","","","","0","B"
"DONODE KRUSHI KENDRA SAKRITOLA","","","","","8830660013","","122650","B"
"DURGA KK DAHEGAON","","","","","8007397113","","30075","A"
"DURGESH KK SONI (THANA)","","","","","915838839","","31645","D"
"EKANSH KRUSHI KENDRA AMGAON","","","","","9960607036","","1380","B"
"FUNDE KK KALIMATI","","","","","7507106350","","38400","A"
"GAHANE KRUSHI KENDRA FUTADA,SADAK ARJUNI","","","","","","","0","D"
"GAIDHANE KK MUNDIPAR (GONDIA MIDC)","","","","","","","45763","B"
"GAIDHANE KK MUNDIPAR (TIRORA)","","","","","8788489631","","0","A+"
"GAIDHANE KRUSHI KENDR DEVATOLA(MANDOBAI)","","","","","","","12100","B"
"GAJANAN K.K PANDRI (SALEKASA)","","","","","9604079574","","0","D"
"GAJANAN KRUSHI KENDRA RATNARA","","","","","9637478502","","1870","B"
"GAJBHIYE KK SILEGAON (GOREGAON)","","","","","","","0","B"
"GAJRA KRUSHI KENDRA KIKRIPAR","","","","","9405729433","","0","D"
"Ganesh","","","","","","","0","B"
"GANESH K.K.,NANVA","","","","","","","51500","B"
"GANESH KK GOREGAON","","","","","","","9000","B"
"GANESH KRUSHI KENDRA PANDHRABODI","","","","","9404306423","","1680","A"
"GAURAV KRUSHI KENDRA KHAJRI (SADAK ARJUNI)","","","","","8235733383","","0","D"
"GAURISHANKAR KRUSHI KENDRA UMRI","","","","","","","0","D"
"GAUTAM K.K TAKRI (KALIMATI)","","","","","9764094002","","3075","B"
"GAYATRI K.K MUNDIPAR (MIDC, GONDIA)","","","","","","","0","A"
"GAYATRI KRUSHI CHICHTOLA","","","","","9145356300","","0","D"
"GAYATRI KRUSHI KENDRA AMGAON","","","","","","","0","B"
